x,y,clusterIdx
15,39,0
15,81,1
16,6,2
16,77,3
17,40,4
17,76,5
18,6,2
18,94,1
19,3,2
19,72,5
19,14,2
19,99,1
20,15,2
20,77,5
20,13,2
20,79,5
21,35,4
21,66,5
23,29,4
23,98,1
24,35,4
24,73,5
25,5,2
25,73,5
28,14,2
28,82,5
28,32,4
28,61,5
29,31,4
29,87,1
30,4,2
30,73,5
33,4,2
33,92,1
33,14,2
33,81,5
34,17,2
34,73,5
37,26,4
37,75,5
38,35,4
38,92,1
39,36,4
39,61,5
39,28,4
39,65,5
40,55,4
40,47,4
40,42,4
40,42,4
42,52,4
42,60,5
43,54,4
43,60,5
43,45,4
43,41,4
44,50,4
44,46,4
46,51,4
46,46,4
46,56,4
46,55,4
47,52,4
47,59,5
48,51,4
48,59,5
48,50,4
48,48,4
48,59,5
48,47,4
49,55,4
49,42,4
50,49,4
50,56,4
54,47,4
54,54,4
54,53,4
54,48,4
54,52,4
54,42,4
54,51,4
54,55,4
54,41,4
54,44,4
54,57,4
54,46,4
57,58,4
57,55,4
58,60,5
58,46,4
59,55,4
59,41,4
60,49,4
60,40,4
60,42,4
60,52,4
60,47,4
60,50,4
61,42,4
61,49,4
62,41,4
62,48,4
62,59,5
62,55,4
62,56,4
62,42,4
63,50,4
63,46,4
63,43,4
63,48,4
63,52,4
63,54,4
64,42,4
64,46,4
65,48,4
65,50,4
65,43,4
65,59,5
67,43,4
67,57,4
67,56,4
67,40,4
69,58,4
69,91,5
70,29,4
70,77,5
71,35,4
71,95,5
71,11,2
71,75,5
71,9,2
71,75,5
72,34,4
72,71,5
73,5,2
73,88,5
73,7,2
73,73,5
74,10,2
74,72,5
75,5,2
75,93,5
76,40,4
76,87,5
77,12,2
77,97,5
77,36,4
77,74,5
78,22,4
78,90,5
78,17,2
78,88,5
78,20,2
78,76,5
78,16,2
78,89,5
78,1,2
78,78,5
78,1,2
78,73,5
79,35,4
79,83,5
81,5,2
81,93,5
85,26,4
85,75,5
86,20,2
86,95,5
87,27,4
87,63,5
87,13,2
87,75,5
87,10,2
87,92,5
88,13,2
88,86,5
88,15,2
88,69,5
93,14,2
93,90,5
97,32,4
97,86,5
98,15,2
98,88,5
99,39,4
99,97,5
101,24,4
101,68,5
103,17,2
103,85,5
103,23,4
103,69,5
113,8,2
113,91,5
120,16,2
120,79,5
126,28,4
126,74,5
137,18,2
137,83,5
